Name,Imdb,Status,Netflix us,Hulu us,Disney plus us,Appletv plus us
Negative Space,tt7090150,nominated,false,false,false,
Revolting Rhymes Part One,tt6386210,nominated,false,false,false,
The Silent Child,tt6186970,won,false,false,false,
DeKalb Elementary,tt5926890,nominated,false,false,false,
My Nephew Emmett,tt6598290,nominated,false,false,false,
The Eleven O'Clock,tt6023474,nominated,false,false,false,
Watu Wote: All of us,tt6333422,nominated,false,false,false,
A Fantastic Woman,tt5639354,won,false,false,false,
Loveless,tt6304162,nominated,false,false,false,
On Body and Soul,tt5607714,nominated,true,false,false,
The Insult,tt7048622,nominated,false,false,false,
The Square,tt4995790,nominated,false,true,false,
Birdman or (The Unexpected Virtue of Ignorance),tt2562232,won,false,false,false,
Boyhood,tt1065073,nominated,false,false,false,
The Theory of Everything,tt2980516,nominated,true,false,false,
Foxcatcher,tt1100089,nominated,false,false,false,
Nightcrawler,tt2872718,nominated,false,false,false,
The Imitation Game,tt2084970,won,false,false,false,
Inherent Vice,tt1791528,nominated,false,false,false,
Mr. Turner,tt2473794,nominated,false,false,false,
Unbroken,tt1809398,nominated,false,false,false,
Whiplash,tt2582802,won,false,false,false,
The Grand Budapest Hotel,tt2278388,won,false,false,false,
Into the Woods,tt2180411,nominated,false,false,false,
Maleficent,tt1587310,nominated,false,false,false,
Guardians of the Galaxy,tt2015381,nominated,false,false,true,
Selma,tt1020072,won,false,false,false,
Begin Again,tt1980929,nominated,false,false,false,
Beyond the Lights,tt3125324,nominated,false,false,false,
Glen Campbell: I'll Be Me,tt2049586,nominated,false,true,false,
The Lego Movie,tt1490017,nominated,false,false,false,
American Sniper,tt2179136,won,false,false,false,
The Hobbit: The Battle of the Five Armies,tt2310332,nominated,false,false,false,
Interstellar,tt0816692,won,false,false,false,
Captain America: The Winter Soldier,tt1843866,nominated,false,false,true,
Dawn of the Planet of the Apes,tt2103281,nominated,false,false,false,
X-Men: Days of Future Past,tt1877832,nominated,false,false,false,
Feast,tt3689498,won,false,false,false,
A Single Life,tt3838700,nominated,false,false,false,
Me and My Moulton,tt3946086,nominated,false,false,false,
The Bigger Picture,tt3610188,nominated,false,false,false,
The Dam Keeper,tt3326262,nominated,false,false,false,
The Phone Call,tt3071532,won,false,false,false,
Aya,tt2326094,nominated,false,false,false,
Boogaloo and Graham,tt3612232,nominated,false,false,false,
Butter Lamp,tt2922078,nominated,false,false,false,
Parvaneh,tt3008010,nominated,false,false,false,
Crisis Hotline: Veterans Press 1,tt3449252,won,false,false,false,
