Name,Imdb,Status,Netflix us,Hulu us,Disney plus us,Appletv plus us
Dog with a Blog,tt2222135,nominated,false,false,false,
Girl Meets World,tt2543796,nominated,false,false,true,
School of Rock,tt4129004,nominated,false,true,false,
America's Best Dance Crew,tt1145872,won,false,false,false,
Crazy Ex-Girlfriend,tt4094300,won,true,false,false,
Fargo,tt2802850,won,false,true,false,
"Nicky, Ricky, Dicky & Dawn",tt3596176,won,false,true,false,
The Soul Man,tt2400129,nominated,false,false,false,
The Man in the High Castle,tt1740299,won,false,false,false,
Bates Motel,tt2188671,nominated,true,false,false,
American Horror Story,tt1844624,won,true,true,false,
The Wiz Live!,tt4718770,won,false,false,false,
@midnight,tt3279494,won,false,false,false,
Downton Abbey,tt1606375,won,false,false,false,
Masters of Sex,tt2137109,nominated,false,false,false,
Penny Dreadful,tt2628232,nominated,true,false,false,
He Named Me Malala,tt3065132,won,true,false,false,
Long Live the Royals,tt3751400,won,false,false,false,
Robot Chicken DC Comics Special 3: Magical Friendship,tt5028778,won,false,false,false,
The Late Late Show with James Corden,tt4280606,won,false,false,false,
Talking Dead,tt2089467,nominated,false,false,false,
Narcos,tt2707408,nominated,true,false,false,
Vinyl,tt3186130,nominated,false,false,false,
The Big Bang Theory,tt0898266,won,false,false,false,
Horace and Pete,tt5425186,nominated,false,true,false,
Descendants,tt3440298,nominated,false,false,true,
Jesse Stone: Lost in Paradise,tt4505830,nominated,false,false,false,
War & Peace,tt3910804,nominated,false,true,false,
Mr. Robot,tt4158110,won,false,false,false,
Limitless,tt4422836,nominated,true,false,false,
Minority Report,tt4450826,nominated,false,false,false,
Live from Lincoln Center,tt0165042,won,false,false,false,
Jazz at the White House,tt5640876,nominated,false,false,false,
Smithsonian Salutes Ray Charles,tt5722372,nominated,false,false,false,
Jackie Robinson,tt5618356,won,false,false,false,
Breakthrough,tt4622776,nominated,false,false,false,
Jane the Virgin,tt3566726,nominated,true,false,false,
Life Story,tt4150884,nominated,false,false,false,
Jessica Jones,tt2357547,won,true,false,false,
Sense8,tt2431438,nominated,true,false,false,
The Whispers,tt3487410,nominated,false,false,false,
The Hunting Ground,tt4185572,won,false,false,false,
Galavant,tt3305096,nominated,true,false,false,
Garfunkel and Oates: Trying to Be Special,tt5602318,nominated,true,false,false,
Who Do You Think You Are?,tt1365047,won,false,false,false,
Project Greenlight,tt0299368,won,false,false,false,
Naked and Afraid XL,tt4791250,nominated,false,true,false,
The Oscars,tt4991632,nominated,false,false,false,
Portlandia,tt1780441,won,true,false,false,
The Muppets.,tt4651824,nominated,false,false,true,
Childrens Hospital,tt1325113,won,false,false,false,
Fear the Walking Dead: Flight 462,tt5095238,nominated,false,false,false,
Hack Into Broad City,tt7000350,nominated,false,false,false,
Her Story,tt4858316,nominated,false,false,false,
UnREAL the Auditions,tt5912930,nominated,false,false,false,
Inside Look: The People v. O.J. Simpson - American Crime Story,tt6205862,won,false,false,false,
A Year in Space,tt5428494,nominated,true,false,false,
National Endowment for the Arts: United States of Arts,tt5893486,nominated,false,false,false,
Roots: A New Vision,tt5852326,nominated,false,false,false,
Park Bench with Steve Buscemi,tt3915918,won,false,false,false,
Epic Rap Battles of History,tt2039625,nominated,false,false,false,
Making a Scene with James Franco,tt3744126,nominated,false,false,false,
Black Sails,tt2375692,won,false,true,false,
Daredevil,tt3322312,nominated,true,false,false,
Vice,tt2782710,won,false,false,false,
Mozart in the Jungle,tt3502172,won,false,false,false,
73rd Golden Globe Awards,tt4399942,nominated,false,false,false,
Super Bowl 50 Halftime Show,tt5956822,nominated,false,false,false,
The 69th Annual Tony Awards,tt4815396,nominated,false,false,false,
11.22.63,tt2879552,nominated,false,true,false,
Hannibal,tt2243973,nominated,false,false,false,
Shameless,tt1586680,won,true,false,false,
